name	start	end	strand	span_type	tx_start	tx_end	tx_class	tx_class_count	tx_class_illumina_support
77fcb5d7-0627-47e1-a26d-7f75e4f95cf4	259	639	-	exon	259	639	u-	19498	supported
1c8ed7dd-cd80-4e4b-89bd-9b9c63ab531f	259	634	-	exon	259	634	u-	19498	supported
455c1b62-3ab2-44d1-a751-ed2e5ed6e42b	262	639	-	exon	262	639	u-	19498	supported
7754811f-d9fd-4df2-b662-338ace6b3396	263	634	-	exon	263	634	u-	19498	supported
108fc8fe-1c0b-443d-84a8-316119715373	264	639	+	exon	264	639	u+	24498	supported
1c6ec129-170b-410f-b2f5-4ec9e6d7ef51	264	637	+	exon	264	637	u+	24498	supported
c0bee2ed-2191-4f37-80d9-e17b75809f11	264	616	+	exon	264	616	u+	24498	supported
251b7285-e421-438c-8fa4-f1c4bc412ad7	264	492	+	exon	264	5769	2	201	supported
251b7285-e421-438c-8fa4-f1c4bc412ad7	492	1426	+	intron	264	5769	2	201	supported
251b7285-e421-438c-8fa4-f1c4bc412ad7	1426	1585	+	exon	264	5769	2	201	supported
251b7285-e421-438c-8fa4-f1c4bc412ad7	1585	5651	+	intron	264	5769	2	201	supported
251b7285-e421-438c-8fa4-f1c4bc412ad7	5651	5769	+	exon	264	5769	2	201	supported
ed81501d-a715-4ca6-96ba-fd85376697cf	264	639	+	exon	264	639	u+	24498	supported
fb84a25c-3e76-46bb-bb0c-13a3edf54a7c	264	492	+	exon	264	5758	2	201	supported
fb84a25c-3e76-46bb-bb0c-13a3edf54a7c	492	1426	+	intron	264	5758	2	201	supported
fb84a25c-3e76-46bb-bb0c-13a3edf54a7c	1426	1585	+	exon	264	5758	2	201	supported
fb84a25c-3e76-46bb-bb0c-13a3edf54a7c	1585	5651	+	intron	264	5758	2	201	supported
fb84a25c-3e76-46bb-bb0c-13a3edf54a7c	5651	5758	+	exon	264	5758	2	201	supported
d6d0941c-0593-40f5-b237-cea07a7067c2	264	622	+	exon	264	622	u+	24498	supported
a97f332c-da82-4f39-a5d7-46f42c70f4c5	264	492	+	exon	264	5769	2	201	supported
a97f332c-da82-4f39-a5d7-46f42c70f4c5	492	1426	+	intron	264	5769	2	201	supported
a97f332c-da82-4f39-a5d7-46f42c70f4c5	1426	1585	+	exon	264	5769	2	201	supported
a97f332c-da82-4f39-a5d7-46f42c70f4c5	1585	5651	+	intron	264	5769	2	201	supported
a97f332c-da82-4f39-a5d7-46f42c70f4c5	5651	5769	+	exon	264	5769	2	201	supported
fe0ae3aa-ce0b-471f-84a5-caaeb1f7ad85	264	492	+	exon	264	5758	12	9	supported
fe0ae3aa-ce0b-471f-84a5-caaeb1f7ad85	492	1426	+	intron	264	5758	12	9	supported
fe0ae3aa-ce0b-471f-84a5-caaeb1f7ad85	1426	1643	+	exon	264	5758	12	9	supported
fe0ae3aa-ce0b-471f-84a5-caaeb1f7ad85	1643	5651	+	intron	264	5758	12	9	supported
fe0ae3aa-ce0b-471f-84a5-caaeb1f7ad85	5651	5758	+	exon	264	5758	12	9	supported
d2aad958-604e-4736-976a-9de83c769ce4	264	639	+	exon	264	639	u+	24498	supported
e8b1ad2a-70ac-4b5c-af23-20e24d72b961	264	639	+	exon	264	639	u+	24498	supported
fd574efa-22f3-44e5-ae10-005841b79d37	264	492	+	exon	264	5649	17	2	supported
fd574efa-22f3-44e5-ae10-005841b79d37	492	1426	+	intron	264	5649	17	2	supported
fd574efa-22f3-44e5-ae10-005841b79d37	1426	1585	+	exon	264	5649	17	2	supported
fd574efa-22f3-44e5-ae10-005841b79d37	1585	5530	+	intron	264	5649	17	2	supported
fd574efa-22f3-44e5-ae10-005841b79d37	5530	5649	+	exon	264	5649	17	2	supported
747591d7-4ed5-4c42-8d41-789aa8d4d055	264	628	+	exon	264	628	u+	24498	supported
d2c563d9-cf4d-45e6-8a01-6939347eb440	264	639	+	exon	264	639	u+	24498	supported
0813dac2-03c9-40bb-9f62-964956ea89af	264	638	+	exon	264	638	u+	24498	supported
0c2cbfb4-e11d-4a4e-a8c5-ca923ec37ed0	264	626	+	exon	264	626	u+	24498	supported
7b7185db-0628-4c8a-99d0-6ab6e8a767a5	264	620	+	exon	264	620	u+	24498	supported
6db4aebe-b454-48c8-b5fb-d3b739d9dd3d	264	485	+	exon	264	485	u+	24498	supported
375e3720-2284-4f22-8708-ccc99ff4300e	264	639	+	exon	264	639	u+	24498	supported
366caa12-8778-4710-805a-9ae66a04a7b0	264	492	+	exon	264	5769	2	201	supported
366caa12-8778-4710-805a-9ae66a04a7b0	492	1426	+	intron	264	5769	2	201	supported
366caa12-8778-4710-805a-9ae66a04a7b0	1426	1585	+	exon	264	5769	2	201	supported
366caa12-8778-4710-805a-9ae66a04a7b0	1585	5651	+	intron	264	5769	2	201	supported
366caa12-8778-4710-805a-9ae66a04a7b0	5651	5769	+	exon	264	5769	2	201	supported
94d9d309-6abd-45a4-804c-ca399831470c	264	618	+	exon	264	618	u+	24498	supported
f09c30e6-9d07-4daa-9fc6-9e78a18b4ea5	264	639	+	exon	264	639	u+	24498	supported
dbaa2a74-7450-4bca-8ac0-94dc22600539	264	492	+	exon	264	5769	2	201	supported
dbaa2a74-7450-4bca-8ac0-94dc22600539	492	1426	+	intron	264	5769	2	201	supported
dbaa2a74-7450-4bca-8ac0-94dc22600539	1426	1585	+	exon	264	5769	2	201	supported
dbaa2a74-7450-4bca-8ac0-94dc22600539	1585	5651	+	intron	264	5769	2	201	supported
dbaa2a74-7450-4bca-8ac0-94dc22600539	5651	5769	+	exon	264	5769	2	201	supported
0376cab7-e9eb-4c7f-996d-6a94c7d6e018	264	615	+	exon	264	615	u+	24498	supported
d8231cb6-d80a-4d86-8d01-df546b75247e	264	492	+	exon	264	5750	2	201	supported
d8231cb6-d80a-4d86-8d01-df546b75247e	492	1426	+	intron	264	5750	2	201	supported
d8231cb6-d80a-4d86-8d01-df546b75247e	1426	1585	+	exon	264	5750	2	201	supported
d8231cb6-d80a-4d86-8d01-df546b75247e	1585	5651	+	intron	264	5750	2	201	supported
d8231cb6-d80a-4d86-8d01-df546b75247e	5651	5750	+	exon	264	5750	2	201	supported
8879bdff-fb44-4045-bfde-69ece892fd18	264	636	+	exon	264	636	u+	24498	supported
d736a596-5b5c-4e41-90cd-44424e7ca5c0	264	616	+	exon	264	616	u+	24498	supported
cc73fe66-ae56-496f-879f-22749486140a	264	639	+	exon	264	639	u+	24498	supported
ee6c9bf1-ea39-403b-ae12-960eb233ed28	264	371	+	exon	264	371	u+	24498	supported
16e58a9b-ba5a-4f60-bd3c-7185807a7974	264	616	+	exon	264	616	u+	24498	supported
78c3629b-c87b-4d1a-9e47-8ed138c72655	264	621	+	exon	264	621	u+	24498	supported
b9cac6f7-55c2-4205-8093-bcde986eb380	264	492	+	exon	264	1560	4	61	supported
b9cac6f7-55c2-4205-8093-bcde986eb380	492	1426	+	intron	264	1560	4	61	supported
b9cac6f7-55c2-4205-8093-bcde986eb380	1426	1560	+	exon	264	1560	4	61	supported
fa813c1b-bc73-4c04-a07f-503c19c3de44	264	622	+	exon	264	622	u+	24498	supported
f6306122-8c90-46ab-ac48-21152d07c0a4	264	609	+	exon	264	609	u+	24498	supported
9fee92b0-8571-4351-a879-a59a33a6702e	264	639	+	exon	264	639	u+	24498	supported
c798bb45-bbd0-4d17-8e0c-16dc39a1e128	264	627	+	exon	264	627	u+	24498	supported
46cd39a2-cede-40a2-a8c5-6d3c9481b40c	264	639	+	exon	264	639	u+	24498	supported
60447040-8d65-4800-9908-60b93d0f3e6a	264	492	+	exon	264	5758	2	201	supported
60447040-8d65-4800-9908-60b93d0f3e6a	492	1426	+	intron	264	5758	2	201	supported
60447040-8d65-4800-9908-60b93d0f3e6a	1426	1585	+	exon	264	5758	2	201	supported
60447040-8d65-4800-9908-60b93d0f3e6a	1585	5651	+	intron	264	5758	2	201	supported
60447040-8d65-4800-9908-60b93d0f3e6a	5651	5758	+	exon	264	5758	2	201	supported
aa8e2383-ede1-44f4-9d43-d5cbac2b8c65	264	492	+	exon	264	5769	6	35	supported
