ID,introns,description,Nanopore_tx_class,Nanopore_perc,PacBio_tx_class,PacBio_perc,type,highest_percentage,cell
IMR-E1,4770_4426,LT,12,54.54545454545455,2,78.51772287862514,Early,78.51772287862514,IMR-32
IMR-E2,4493_4426,ST,23,18.181818181818183,5,17.40064446831364,Early,18.181818181818183,IMR-32
IMR-E3,"4273_2918
4770_4426",T'135,27,18.181818181818183,21,0.8592910848549946,Early,18.181818181818183,IMR-32
IMR-E4,"4273_2777
4770_4426",T'136,36,9.090909090909092,26,0.644468313641246,Early,9.090909090909092,IMR-32
IMR-E5,"4273_2704
4770_4426",T'165,NA,0,20,1.0204081632653061,Early,1.0204081632653061,IMR-32
IMR-E6,4273_2918,Novel,NA,0,38,0.322234156820623,Early,0.322234156820623,IMR-32
IMR-E7,1420_484,Novel,NA,0,39,0.26852846401718583,Early,0.26852846401718583,IMR-32
IMR-E8,5294_4426,Novel,NA,0,44,0.21482277121374865,Early,0.21482277121374865,IMR-32
IMR-E9,"4273_2777
4493_4426",Novel,NA,0,54,0.1611170784103115,Early,0.1611170784103115,IMR-32
IMR-E10,"9403_4426
9900_9556",Novel,NA,0,60,0.10741138560687433,Early,0.10741138560687433,IMR-32
IMR-E11,"4273_2704
4493_4426",Novel,NA,0,62,0.10741138560687433,Early,0.10741138560687433,IMR-32
IMR-E12,4273_2777,Novel,NA,0,63,0.10741138560687433,Early,0.10741138560687433,IMR-32
IMR-E13,"4273_2918
4493_4426",Novel,NA,0,65,0.10741138560687433,Early,0.10741138560687433,IMR-32
IMR-E14,"9403_4426
14533_9556
19663_14686
24793_19816
29923_24946
35053_30076",Novel,NA,0,75,0.05370569280343716,Early,0.05370569280343716,IMR-32
IMR-E15,"9403_4426
14533_9556
19663_14686",Novel,NA,0,93,0.05370569280343716,Early,0.05370569280343716,IMR-32
IMR-E16,"9403_4426
14533_9556
19663_14686
24793_19816
29923_24946
35053_30076
40183_35206
45313_40336",Novel,NA,0,98,0.05370569280343716,Early,0.05370569280343716,IMR-32
IMR-L1,492_1426,M2,1,53.392330383480825,1,92.52085106382978,Late,92.52085106382978,IMR-32
IMR-L2,"492_5530
5622_6556",Novel,2,13.372664700098328,12,0.20425531914893616,Late,13.372664700098328,IMR-32
IMR-L3,"492_5506
5622_6556",Novel,3,8.357915437561456,13,0.1974468085106383,Late,8.357915437561456,IMR-32
IMR-L4,"492_1426
1585_5651",ORF1,4,5.408062930186824,15,0.17702127659574468,Late,5.408062930186824,IMR-32
IMR-L5,492_5530,Novel,5,4.424778761061947,11,0.25872340425531914,Late,4.424778761061947,IMR-32
IMR-L6,"492_1426
1585_1953",M3,6,2.2615535889872174,3,1.4740425531914894,Late,2.2615535889872174,IMR-32
IMR-L7,492_5506,Novel,7,1.8682399213372665,16,0.15659574468085105,Late,1.8682399213372665,IMR-32
IMR-L8,492_1953,M4,8,1.671583087512291,8,0.46638297872340423,Late,1.671583087512291,IMR-32
IMR-L9,"298_400
492_1426",Novel,18,0.39331366764995085,4,1.3004255319148936,Late,1.3004255319148936,IMR-32
IMR-L10,"492_5530
5622_10660
10752_11686",Novel,9,0.983284169124877,29,0.03404255319148936,Late,0.983284169124877,IMR-32
IMR-L11,1585_5651,Novel,11,0.8849557522123894,18,0.14297872340425533,Late,0.8849557522123894,IMR-32
IMR-L12,"492_5530
5622_10636
10752_11686",Novel,10,0.8849557522123894,33,0.02723404255319149,Late,0.8849557522123894,IMR-32
IMR-L13,298_400,Novel,NA,0,6,0.5412765957446809,Late,0.5412765957446809,IMR-32
IMR-L14,"492_5506
5622_10636
10752_11686",Novel,15,0.4916420845624385,45,0.013617021276595745,Late,0.4916420845624385,IMR-32
IMR-L15,"492_5530
5622_6556
6715_10781",Novel,14,0.4916420845624385,53,0.010212765957446808,Late,0.4916420845624385,IMR-32
IMR-L16,"492_5530
5622_7083",Novel,13,0.4916420845624385,NA,0,Late,0.4916420845624385,IMR-32
IMR-L17,298_521,Novel,37,0.09832841691248771,7,0.4697872340425532,Late,0.4697872340425532,IMR-32
IMR-L18,"315_400
492_1426",Novel,46,0.09832841691248771,9,0.4051063829787234,Late,0.4051063829787234,IMR-32
IMR-L19,1643_5651,Novel,16,0.39331366764995085,51,0.010212765957446808,Late,0.39331366764995085,IMR-32
IMR-L20,"492_5506
5622_6556
6715_7083",Novel,17,0.39331366764995085,85,0.003404255319148936,Late,0.39331366764995085,IMR-32
IMR-L21,400_521,Novel,NA,0,10,0.3778723404255319,Late,0.3778723404255319,IMR-32
