ID_IMR,ID_293,predicted_length
IMR-L3,293-L2,369
IMR-L14,293-L7,485
IMR-L2,293-L3,345
IMR-L10,293-L16,437
IMR-L92,NA,529
IMR-L7,293-L10,487
IMR-L37,NA,603
IMR-L5,293-L9,463
IMR-L22,293-L14,555
IMR-L46,NA,647
NA,293-L60,291
IMR-L32,293-L27,243
IMR-L67,293-L52,335
IMR-L102,NA,409
IMR-L48,293-L38,361
IMR-E15,293-E17,594
IMR-E14,NA,1053
IMR-E16,NA,1359
NA,293-E16,441
